"Year","Species","Biomass_base"
1989,"WITCH FLOUNDER",15674414204.7945
1990,"WITCH FLOUNDER",14941409821.4989
1991,"WITCH FLOUNDER",13533975379.8647
1992,"WITCH FLOUNDER",11539217020.8007
1993,"WITCH FLOUNDER",9372780803.68322
1994,"WITCH FLOUNDER",9488858858.48382
1995,"WITCH FLOUNDER",9595677099.29272
1996,"WITCH FLOUNDER",9351068958.7181
1997,"WITCH FLOUNDER",8963906943.50314
1998,"WITCH FLOUNDER",8528720672.3319
1999,"WITCH FLOUNDER",8078836437.00096
2000,"WITCH FLOUNDER",7640988232.60555
2001,"WITCH FLOUNDER",7224279946.66104
2002,"WITCH FLOUNDER",6804858232.63723
2003,"WITCH FLOUNDER",6430034970.90351
2004,"WITCH FLOUNDER",6069491668.29067
2005,"WITCH FLOUNDER",5723928432.65674
2006,"WITCH FLOUNDER",5391596701.86963
2007,"WITCH FLOUNDER",5072572183.61731
2008,"WITCH FLOUNDER",4767029994.62383
2009,"WITCH FLOUNDER",4475241871.81139
2010,"WITCH FLOUNDER",4197293746.36406
1970,"YELLOWTAIL FLOUNDER",79682891359.1319
1971,"YELLOWTAIL FLOUNDER",79666457303.7552
1972,"YELLOWTAIL FLOUNDER",79638465042.3331
1973,"YELLOWTAIL FLOUNDER",78359469876.3934
1974,"YELLOWTAIL FLOUNDER",77347206563.245
1975,"YELLOWTAIL FLOUNDER",76489277722.044
1976,"YELLOWTAIL FLOUNDER",75844000767.925
1977,"YELLOWTAIL FLOUNDER",74974902908.6683
1978,"YELLOWTAIL FLOUNDER",75130099453.2839
1979,"YELLOWTAIL FLOUNDER",74696773434.9859
1980,"YELLOWTAIL FLOUNDER",73937459760.9156
1981,"YELLOWTAIL FLOUNDER",72157285884.5924
1982,"YELLOWTAIL FLOUNDER",71276409555.6388
1983,"YELLOWTAIL FLOUNDER",71033233636.7841
1984,"YELLOWTAIL FLOUNDER",71332054909.2783
1985,"YELLOWTAIL FLOUNDER",72138602828.6005
1986,"YELLOWTAIL FLOUNDER",73337789380.5972
1987,"YELLOWTAIL FLOUNDER",74827650467.0158
1988,"YELLOWTAIL FLOUNDER",76366924391.4773
1989,"YELLOWTAIL FLOUNDER",77643671503.0959
1990,"YELLOWTAIL FLOUNDER",78629627949.3074
1991,"YELLOWTAIL FLOUNDER",79169659431.5136
1992,"YELLOWTAIL FLOUNDER",79102834548.1172
1993,"YELLOWTAIL FLOUNDER",78432555583.2991
1994,"YELLOWTAIL FLOUNDER",78530229912.4488
1995,"YELLOWTAIL FLOUNDER",78318763619.4734
1996,"YELLOWTAIL FLOUNDER",77551528857.4688
1997,"YELLOWTAIL FLOUNDER",76315416568.9822
1998,"YELLOWTAIL FLOUNDER",74702270976.9279
1999,"YELLOWTAIL FLOUNDER",72789721908.7455
2000,"YELLOWTAIL FLOUNDER",70651848930.7152
2001,"YELLOWTAIL FLOUNDER",68349485859.2024
2002,"YELLOWTAIL FLOUNDER",65919898299.3033
2003,"YELLOWTAIL FLOUNDER",63427634706.9755
2004,"YELLOWTAIL FLOUNDER",60889974319.7263
2005,"YELLOWTAIL FLOUNDER",58334911012.7813
2006,"YELLOWTAIL FLOUNDER",55784593293.796
2007,"YELLOWTAIL FLOUNDER",53257941659.0218
2008,"YELLOWTAIL FLOUNDER",50770325839.9794
2009,"YELLOWTAIL FLOUNDER",48334123043.9307
2010,"YELLOWTAIL FLOUNDER",45959034215.5862
